WSN, 1984, 159.341614907, 158.0, 21.8453359549, N, MON
WSN, 1985, 161.416149068, 156.0, 26.6631993361, N, MON
WSN, 1986, 169.596273292, 167.0, 26.7159846729, N, MON
WSN, 1987, 167.469135802, 162.5, 25.1118910497, N, MON
WSN, 1988, 170.742331288, 165.0, 29.5673482978, N, MON
WSN, 1989, 174.191358025, 170.0, 28.1048596366, N, MON
WSN, 1990, 174.345679012, 171.0, 28.3643231368, N, MON
WSN, 1991, 174.832298137, 169.0, 33.8816420043, N, MON
WSN, 1992, 174.450617284, 171.0, 29.1767818374, N, MON
WSN, 1993, 171.957055215, 168.0, 25.225692836, N, MON
WSN, 1994, 177.903508772, 173.0, 25.9875035078, N, MON
WSN, 1995, 169.347222222, 167.5, 25.9607929398, N, MON
WSN, 1996, 172.790123457, 169.0, 28.1572813859, N, MON
WSN, 1997, 165.858024691, 163.5, 26.8654322122, N, MON
WSN, 1998, 161.598765432, 159.0, 20.9034995819, N, MON
WSN, 1999, 167.728395062, 166.0, 21.7607713335, N, MON
WSN, 2000, 171.061728395, 170.5, 21.2671692028, N, MON
WSN, 2001, 171.0, 169.0, 24.9545265445, N, MON
WSN, 2002, 174.709876543, 172.5, 25.6295263027, N, MON
WSN, 2003, 169.24691358, 165.0, 24.3127923775, N, MON
WSN, 2004, 171.0, 167.0, 26.0827268892, N, MON
WSN, 2005, 174.737179487, 173.5, 23.8526760794, N, WSN
WSN, 2006, 176.691358025, 174.0, 24.1950112067, N, WSN
WSN, 2007, 175.018518519, 170.0, 29.4897915424, N, WSN
WSN, 2008, 170.0, 168.0, 27.4180880587, N, WSN
WSN, 2009, 174.864197531, 174.0, 26.5631105415, N, WSN
NYM, 1970, 156.117283951, 153.0, 24.585046595, N, NYM
NYM, 1971, 147.728395062, 143.0, 27.4876009514, N, NYM
NYM, 1972, 149.780645161, 146.0, 24.3758926302, N, NYM
NYM, 1973, 148.906832298, 145.0, 30.5324999927, N, NYM
NYM, 1974, 148.135802469, 144.0, 30.0989122835, N, NYM
NYM, 1975, 149.086419753, 144.5, 23.914042329, N, NYM
NYM, 1976, 144.465838509, 141.0, 22.506046408, N, NYM
NYM, 1977, 148.197530864, 145.0, 23.0409832143, N, NYM
NYM, 1978, 151.759259259, 149.5, 24.7363394289, N, NYM
NYM, 1979, 156.588957055, 152.0, 27.1721912295, N, NYM
NYM, 1980, 159.296296296, 153.5, 29.7580550126, N, NYM
NYM, 1981, 153.228571429, 151.0, 21.2285778376, N, NYM
NYM, 1982, 158.666666667, 156.0, 22.6298720967, N, NYM
NYM, 1983, 156.030864198, 152.0, 25.6852801289, N, NYM
NYM, 1984, 160.987654321, 159.0, 19.4266546094, N, NYM
NYM, 1985, 169.49382716, 163.0, 33.2040542879, N, NYM
NYM, 1986, 174.919753086, 171.0, 30.0657670874, N, NYM
NYM, 1987, 177.907407407, 174.0, 26.9747951755, N, NYM
NYM, 1988, 169.4375, 165.0, 27.1165741522, N, NYM
NYM, 1989, 171.401234568, 166.0, 25.4845535101, N, NYM
NYM, 1990, 172.259259259, 169.0, 24.3562944828, N, NYM
NYM, 1991, 173.577639752, 168.0, 29.1455204684, N, NYM
NYM, 1992, 175.87654321, 172.5, 27.3364418811, N, NYM
NYM, 1993, 164.074074074, 161.0, 26.765916127, N, NYM
NYM, 1994, 171.672566372, 166.0, 28.9670067056, N, NYM
NYM, 1995, 168.555555556, 165.0, 27.4597629314, N, NYM
NYM, 1996, 167.111111111, 165.0, 24.8471872865, N, NYM
NYM, 1997, 171.580246914, 167.0, 26.5026736119, N, NYM
NYM, 1998, 175.925925926, 172.0, 29.471173519, N, NYM
NYM, 1999, 182.36196319, 178.0, 23.6126258433, N, NYM
NYM, 2000, 183.969135802, 182.0, 24.8850252059, N, NYM
NYM, 2001, 182.12345679, 178.0, 24.624529934, N, NYM
NYM, 2002, 180.50310559, 177.0, 27.2627254972, N, NYM
NYM, 2003, 171.888198758, 170.0, 20.6247134484, N, NYM
NYM, 2004, 178.765432099, 175.0, 26.0920836606, N, NYM
NYM, 2005, 169.892405063, 166.5, 22.9638090176, N, NYM
NYM, 2006, 173.574074074, 170.0, 27.3703014583, N, NYM
NYM, 2007, 176.796296296, 174.0, 28.4490315071, N, NYM
NYM, 2008, 181.549382716, 176.5, 29.0930929118, N, NYM
NYM, 2009, 174.956790123, 173.5, 22.3137970842, N, NYM
BAL, 1970, 153.765432099, 149.0, 27.5930621111, A, BAL
BAL, 1971, 145.392405063, 141.5, 25.1055582738, A, BAL
BAL, 1972, 143.24025974, 139.0, 22.7670459031, A, BAL
BAL, 1973, 153.314814815, 152.0, 22.8771469942, A, BAL
BAL, 1974, 151.227848101, 147.5, 26.2111433289, A, BAL
BAL, 1975, 149.8, 145.0, 27.0388967135, A, BAL
BAL, 1976, 149.602484472, 148.0, 28.4782317441, A, BAL
BAL, 1977, 156.906832298, 154.0, 28.2798352851, A, BAL
BAL, 1978, 154.350318471, 151.0, 22.6939948964, A, BAL
BAL, 1979, 160.842767296, 155.0, 29.6723267707, A, BAL
BAL, 1980, 162.888888889, 159.0, 25.6690715564, A, BAL
BAL, 1981, 162.19047619, 162.0, 25.5678724139, A, BAL
BAL, 1982, 162.797546012, 160.0, 24.5234730447, A, BAL
BAL, 1983, 160.030864198, 158.5, 24.0730428712, A, BAL
BAL, 1984, 159.888888889, 158.0, 24.8955844169, A, BAL
BAL, 1985, 170.403726708, 167.0, 23.0875672714, A, BAL
BAL, 1986, 171.209876543, 167.5, 24.0468760577, A, BAL
BAL, 1987, 172.660493827, 170.0, 22.8524963059, A, BAL
BAL, 1988, 169.776397516, 167.0, 26.3448169629, A, BAL
BAL, 1989, 181.407407407, 175.0, 28.5755562372, A, BAL
BAL, 1990, 183.403726708, 182.0, 24.2646840685, A, BAL
BAL, 1991, 181.598765432, 180.0, 27.750755718, A, BAL
BAL, 1992, 183.641975309, 179.0, 27.1556140398, A, BAL
BAL, 1993, 182.907407407, 178.0, 27.1686105997, A, BAL
BAL, 1994, 190.517857143, 189.0, 23.6499706066, A, BAL
BAL, 1995, 183.180555556, 181.0, 24.2609233067, A, BAL
BAL, 1996, 187.809815951, 180.0, 32.5539763476, A, BAL
BAL, 1997, 188.49382716, 185.5, 28.0830441602, A, BAL
BAL, 1998, 181.561728395, 181.0, 26.9122812293, A, BAL
BAL, 1999, 178.475308642, 175.5, 25.1445697982, A, BAL
BAL, 2000, 180.697530864, 178.0, 28.3468572313, A, BAL
BAL, 2001, 179.462962963, 176.5, 25.4505424252, A, BAL
BAL, 2002, 174.703703704, 170.0, 27.5407417369, A, BAL
BAL, 2003, 170.337423313, 166.0, 28.7803658488, A, BAL
BAL, 2004, 179.524691358, 175.0, 32.8041702817, A, BAL
BAL, 2005, 172.025316456, 169.0, 24.9911248467, A, BAL
BAL, 2006, 173.444444444, 172.0, 24.0403467447, A, BAL
BAL, 2007, 179.154320988, 176.0, 25.0031037549, A, BAL
BAL, 2008, 178.440993789, 177.0, 25.1398188821, A, BAL
BAL, 2009, 172.185185185, 170.0, 23.7201331951, A, BAL
OAK, 1970, 151.296296296, 150.5, 20.8109921361, A, OAK
OAK, 1971, 154.322981366, 152.0, 27.8796442772, A, OAK
OAK, 1972, 147.180645161, 143.0, 28.2642989146, A, OAK
OAK, 1973, 150.49382716, 147.5, 23.5412028898, A, OAK
OAK, 1974, 145.277777778, 142.0, 22.2172911196, A, OAK
OAK, 1975, 149.645962733, 149.0, 26.2289039602, A, OAK
OAK, 1976, 157.291925466, 154.0, 25.5767362638, A, OAK
OAK, 1977, 155.01242236, 153.0, 23.3501533046, A, OAK
OAK, 1978, 147.838509317, 144.0, 23.5540611474, A, OAK
OAK, 1979, 154.285714286, 153.0, 24.6194460764, A, OAK
OAK, 1980, 164.098765432, 158.0, 27.0819993692, A, OAK
OAK, 1981, 171.064220183, 164.0, 31.2084660442, A, OAK
OAK, 1982, 172.049382716, 168.0, 31.9540183661, A, OAK
OAK, 1983, 169.530864198, 164.0, 29.9652417656, A, OAK
OAK, 1984, 164.561728395, 161.0, 22.7636653729, A, OAK
OAK, 1985, 169.685185185, 167.0, 25.1699095831, A, OAK
OAK, 1986, 172.932098765, 171.5, 23.5576850566, A, OAK
OAK, 1987, 176.358024691, 173.0, 24.7981025967, A, OAK
OAK, 1988, 174.475308642, 170.5, 32.2084646142, A, OAK
OAK, 1989, 170.641975309, 168.0, 22.3207862167, A, OAK
OAK, 1990, 173.641975309, 170.0, 21.3794690033, A, OAK
OAK, 1991, 181.975308642, 177.5, 27.0107318903, A, OAK
OAK, 1992, 182.740740741, 183.0, 24.7375247411, A, OAK
OAK, 1993, 181.740740741, 177.0, 30.2333630519, A, OAK
OAK, 1994, 181.105263158, 179.0, 23.1745354885, A, OAK
OAK, 1995, 180.993055556, 176.5, 27.1568224822, A, OAK
